index,entity,img,name,norm_name,folder_name
69,http://dbpedia.org/resource/Alejandro_de_la_Madrid,http://commons.wikimedia.org/wiki/Special:FilePath/AlejandroDeLaMadrid.jpg?width=300,Alejandro de la Madrid,Alejandro de la Madrid,Alejandro de la Madrid
70,http://dbpedia.org/resource/Aleksander_Mikołajczak,http://commons.wikimedia.org/wiki/Special:FilePath/Aleksander_Miko%C5%82ajczak.JPG?width=300,Aleksander Mikołajczak,Aleksander Mikołajczak,Aleksander Mikołajczak
71,http://dbpedia.org/resource/Aleksandr_Bashirov,http://commons.wikimedia.org/wiki/Special:FilePath/Баширов-на-съёмочной-площадке.jpg?width=300,Alexander Bashirov,Aleksandr Bashirov,Aleksandr Bashirov
72,http://dbpedia.org/resource/Aleksandr_Filippenko,http://commons.wikimedia.org/wiki/Special:FilePath/Aleksandr_Filippenko_at_53rd_MIPT_Conference_2850.jpg?width=300,Aleksander Filippenko,Aleksandr Filippenko,Aleksandr Filippenko
73,http://dbpedia.org/resource/Alex_Medina,http://commons.wikimedia.org/wiki/Special:FilePath/Alex_Medina_is_Carlo.png?width=300,Alex Medina,Alex Medina,Alex Medina
74,http://dbpedia.org/resource/Alex_Meraz,http://commons.wikimedia.org/wiki/Special:FilePath/Paparazzo_Presents_Alex_Meraz.jpg?width=300,Alex Meraz,Alex Meraz,Alex Meraz
75,http://dbpedia.org/resource/Alexander_Aze,"http://commons.wikimedia.org/wiki/Special:FilePath/Alexander_Aze,_November_2013.jpg?width=300",Alexander Aze,Alexander Aze,Alexander Aze
76,http://dbpedia.org/resource/Alexander_Carson_(filmmaker),http://en.wikipedia.org/wiki/Special:FilePath/Alexander_Carson_headshot.jpg?width=300,Alexander Carson,Alexander Carson,Alexander Carson
77,http://dbpedia.org/resource/Alexandra_Lamy,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandra_Jardin_Deauville_2014.jpg?width=300,Alexandra Lamy,Alexandra Lamy,Alexandra Lamy
78,http://dbpedia.org/resource/Alexandra_Neldel,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandra_Neldel_2008.jpg?width=300,Alexandra Neldel,Alexandra Neldel,Alexandra Neldel
79,http://dbpedia.org/resource/Alexandre_Astier,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandreastier.JPG?width=300,Alexandre Astier,Alexandre Astier,Alexandre Astier
80,http://dbpedia.org/resource/Alexandre_Borges,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandre_Borges_2011.jpg?width=300,Alexandre Borges,Alexandre Borges,Alexandre Borges
81,http://dbpedia.org/resource/Alexia_Fast,http://commons.wikimedia.org/wiki/Special:FilePath/Alexia_Fast.jpg?width=300,Alexia Fast,Alexia Fast,Alexia Fast
82,http://dbpedia.org/resource/Alexia_Moyano,http://en.wikipedia.org/wiki/Special:FilePath/Alexia_Moyano_by_Santiago_Muiño.jpg?width=300,Alexia Moyano,Alexia Moyano,Alexia Moyano
83,http://dbpedia.org/resource/Alexis_Arts,http://commons.wikimedia.org/wiki/Special:FilePath/Alexis_Arts.jpg?width=300,Alexis Arts,Alexis Arts,Alexis Arts
84,http://dbpedia.org/resource/Ali_Al-Sebaa,http://commons.wikimedia.org/wiki/Special:FilePath/Ali_Al-Sebaa.jpg?width=300,Ali Al-Seba,Ali Al-Sebaa,Ali Al-Sebaa
85,http://dbpedia.org/resource/Ali_Al-Sebaa,http://commons.wikimedia.org/wiki/Special:FilePath/Ali_Al-Sebaa.jpg?width=300,على السبع,Ali Al-Sebaa,Ali Al-Sebaa
86,http://dbpedia.org/resource/Ali_Ansarian,http://commons.wikimedia.org/wiki/Special:FilePath/Ansariyan.JPG?width=300,Ali Ansarian,Ali Ansarian,Ali Ansarian
87,http://dbpedia.org/resource/Ali_Fazal,http://commons.wikimedia.org/wiki/Special:FilePath/Ali_Fazal_Filmfare.jpg?width=300,Ali Fazal,Ali Fazal,Ali Fazal
88,http://dbpedia.org/resource/Hannah_Quinlivan,http://commons.wikimedia.org/wiki/Special:FilePath/昆凌.jpg?width=300,Hannah Quinlivan,Hannah Quinlivan,Hannah Quinlivan
89,http://dbpedia.org/resource/Hans_Klok,http://commons.wikimedia.org/wiki/Special:FilePath/Hans_Klok_crop.jpg?width=300,Hans Klok,Hans Klok,Hans Klok
90,http://dbpedia.org/resource/Hans_Rosenfeldt,"http://en.wikipedia.org/wiki/Special:FilePath/Hans_Rosenfeldt,_Göteborg_Book_Fair_2014_1.jpg?width=300",Hans Rosenfeldt,Hans Rosenfeldt,Hans Rosenfeldt
91,http://dbpedia.org/resource/Hansika_Motwani,http://commons.wikimedia.org/wiki/Special:FilePath/Hansika_at_SIIMA_2016.jpg?width=300,Hansika Motwani,Hansika Motwani,Hansika Motwani
92,http://dbpedia.org/resource/Harish_Patel,http://commons.wikimedia.org/wiki/Special:FilePath/Harish_Patel.jpg?width=300,Harish Patel,Harish Patel,Harish Patel
93,http://dbpedia.org/resource/Harold_Hunter,http://commons.wikimedia.org/wiki/Special:FilePath/Harold_hunter.png?width=300,Harold Hunter,Harold Hunter,Harold Hunter
94,http://dbpedia.org/resource/Harold_O'Neal,http://commons.wikimedia.org/wiki/Special:FilePath/Harold_O'Neal_at_New_York_Fashion_Week.jpg?width=300,Harold O'Neal,Harold O'Neal,Harold O'Neal
95,http://dbpedia.org/resource/Harry_Northup,http://commons.wikimedia.org/wiki/Special:FilePath/Harry_northup.jpg?width=300,Harry E. Northup,Harry Northup,Harry Northup
96,http://dbpedia.org/resource/Harsh_Chhaya,http://commons.wikimedia.org/wiki/Special:FilePath/Harsh_Chhaya_on_the_set_of_ONCE_MORE_STUDIOS.jpg?width=300,Harsh Chhaya,Harsh Chhaya,Harsh Chhaya
97,http://dbpedia.org/resource/Harsh_Mayar,http://commons.wikimedia.org/wiki/Special:FilePath/Photo_of_Harsh_Mayar_by_Sachin_Aggarwal_Photography.jpg?width=300,Harsh Mayar,Harsh Mayar,Harsh Mayar
98,http://dbpedia.org/resource/Harshad_Arora,http://commons.wikimedia.org/wiki/Special:FilePath/Harshad_Arora.jpg?width=300,Harshad Arora,Harshad Arora,Harshad Arora
99,http://dbpedia.org/resource/Haruna_Iikubo,http://commons.wikimedia.org/wiki/Special:FilePath/161006_AMN_빅_콘서트_-_마키노_마리아_모닝구무스메_메들리_직캠_(Haruna_Iikubo)_by_DaftTaengk_2m15s.jpg?width=300,Haruna Iikubo,Haruna Iikubo,Haruna Iikubo
100,http://dbpedia.org/resource/Hayabusa_(wrestler),http://commons.wikimedia.org/wiki/Special:FilePath/Hayabusa_FMW.jpg?width=300,Hayabusa,Suzuki Hayabusa,Suzuki Hayabusa
101,http://dbpedia.org/resource/Haydée_Politoff,http://commons.wikimedia.org/wiki/Special:FilePath/Haydée_Politoff.jpg?width=300,Haydée Politoff,Haydée Politoff,Haydée Politoff
102,http://dbpedia.org/resource/Heart_Evangelista,http://commons.wikimedia.org/wiki/Special:FilePath/Heart_Evangelista.jpg?width=300,Heart Evangelista,Heart Evangelista,Heart Evangelista
103,http://dbpedia.org/resource/Heart_Evangelista,http://commons.wikimedia.org/wiki/Special:FilePath/Heart_Evangelista.jpg?width=300,"Marie ""Heart"" Evangelista",Heart Evangelista,Heart Evangelista
104,http://dbpedia.org/resource/Heather_Young_(actress),http://commons.wikimedia.org/wiki/Special:FilePath/Heather_Young.jpg?width=300,Heather Young,Heather Young,Heather Young
105,http://dbpedia.org/resource/Hedieh_Tehrani,http://commons.wikimedia.org/wiki/Special:FilePath/Hedieh_Tehrani.jpg?width=300,Hedieh Tehrani,Hedieh Tehrani,Hedieh Tehrani
106,http://dbpedia.org/resource/Heino_Ferch,http://commons.wikimedia.org/wiki/Special:FilePath/Heino_Ferch_c_Rainer_Vinzent.jpg?width=300,Heino Ferch,Heino Ferch,Heino Ferch
